flow;role;energy;price;device;;
pv_Ep;UAS;Ep;1;pv;;
pv_Eq;CA;Eq;1;pv;;
eh_Ep;CA;Ep;4;eh;;
eh_Eq;UA;Eq;1;eh;;
evcs_Ep;CA;Ep;4;evcs;;
evcs_Eq;UA;Eq;6;evcs;;
inv1_Ep;CA;Ep;2;inv1;;
inv1_Eq;CA;Eq;5;inv1;;
inv2_Ep;NCA;Ep;2;inv2;;
inv2_Eq;NCA;Eq;5;inv2;;
bystar1_Ep;UA;Ep;8;bystar1;;
bystar1_Eq;UA;Eq;8;bystar1;;
bysprint_Ep;UA;Ep;8;bysprint;;
bysprint_Eq;UA;Eq;8;bysprint;;
bystar2_Ep;UA;Ep;8;bystar2;;
bystar2_Eq;UA;Eq;8;bystar2;;
mazak_Ep;UA;Ep;8;mazak;;
mazak_Eq;UA;Eq;8;mazak;;
network;CA;Ep;10;network;;
network;CA;Eq;10;network;;
